1;1;1;91;97;90;80;92;36;78;0;0;0;0;0;5;4;1;182;75;25
2;2;2;91;66;80;86;84;87;85;0;0;0;0;0;3;4;2;191;82;28
3;3;3;91;88;92;70;81;45;88;0;0;0;0;0;3;3;4;195;94;24
4;4;4;90;80;87;83;88;78;83;0;0;0;0;0;4;4;5;186;75;21
5;5;5;90;95;84;81;91;29;69;0;0;0;0;0;5;4;7;176;73;24
6;6;6;90;67;87;94;87;65;78;0;0;0;0;0;4;5;9;181;75;33
7;7;7;90;65;93;84;83;49;82;0;0;0;0;0;3;4;11;188;86;31
8;8;8;89;70;82;89;89;67;66;0;0;0;0;0;5;2;12;178;68;25
9;9;9;89;90;84;73;90;52;87;90;84;73;87;90;1;3;13;196;90;25
10;10;10;89;86;85;85;89;56;90;86;85;85;90;89;1;3;15;193;91;31
11;11;11;89;85;89;76;90;46;88;85;89;76;88;90;1;3;16;200;96;32
12;12;12;89;82;88;75;87;54;85;0;0;0;0;0;4;4;18;174;72;27
13;13;13;89;78;60;71;71;89;86;0;0;0;0;0;2;3;20;193;92;33
14;14;14;89;86;85;89;91;47;86;86;85;89;86;91;1;4;21;187;85;32
15;15;15;89;89;87;82;88;45;75;0;0;0;0;0;4;3;22;175;72;32
16;16;16;88;86;86;85;90;57;63;0;0;0;0;0;4;3;23;171;69;24
17;17;17;88;79;85;87;92;33;64;0;0;0;0;0;4;4;25;169;67;37
18;18;18;88;80;88;87;89;59;75;0;0;0;0;0;4;3;28;176;73;33
19;19;19;88;67;39;70;69;89;87;0;0;0;0;0;2;4;29;187;82;27
20;20;20;88;75;88;79;86;44;84;0;0;0;0;0;4;4;30;185;81;36
21;21;21;88;88;82;84;84;80;84;0;0;0;0;0;3;4;32;182;78;26
22;22;22;88;87;82;91;87;64;86;87;82;91;86;87;1;3;33;188;86;31
23;23;23;88;75;78;86;92;71;69;0;0;0;0;0;4;3;34;173;64;30
24;24;24;88;85;90;78;87;46;86;85;90;78;86;87;1;3;38;188;87;31
25;25;25;88;82;55;73;70;86;86;0;0;0;0;0;2;3;40;190;86;31
26;26;26;88;81;78;87;89;50;67;0;0;0;0;0;4;4;42;177;71;21
27;27;27;88;87;86;73;89;44;87;87;86;73;87;89;1;3;43;195;88;26
28;28;28;87;82;39;70;74;87;83;0;0;0;0;0;2;3;44;193;85;23
29;29;29;87;89;84;65;81;42;82;0;0;0;0;0;3;4;45;186;77;25
30;30;30;87;84;81;78;90;63;64;0;0;0;0;0;5;4;46;184;72;21
